Incubation time,T,Time,Add,Ash,CBC,CEC,NBC,PBC,OPBC,SSA,pHsoil,TP,OPsoil,TC,OC,Fertilizer type,Soil texture,ECsoil,P growth rate
120,,3,1.33,,63.27,108.75,0.67,0.067,28.6,,7.07,,17.21,,9,1,3,540,-0.048738532
120,,3,1.33,,63.27,108.75,0.67,0.067,28.6,,7.28,0.8,8.13,,8,1,1,510,1.150127226
120,,3,1.33,,63.27,108.75,0.67,0.067,28.6,,7.72,1.031,4.42,,7.5,1,5,1890,0.083129584
120,,3,0.66,,63.27,108.75,0.67,0.067,28.6,,7.07,0.979,17.21,,9,1,3,540,0.107798165
120,,3,0.66,,63.27,108.75,0.67,0.067,28.6,,7.28,0.8,8.13,,8,1,1,510,0.755725191
120,,3,0.66,,63.27,108.75,0.67,0.067,28.6,,7.72,1.031,4.42,,7.5,1,5,1890,0.041564792
60,,3,1.33,,63.27,108.75,0.67,0.067,28.6,,7.07,,17.21,,9,1,3,540,-0.133333333
60,,3,1.33,,63.27,108.75,0.67,0.067,28.6,,7.28,0.8,8.13,,8,1,1,510,0.180952381
60,,3,1.33,,63.27,108.75,0.67,0.067,28.6,,7.72,1.031,4.42,,7.5,1,5,1890,1.038860104
60,,3,0.66,,63.27,108.75,0.67,0.067,28.6,,7.07,,17.21,,9,1,3,540,-0.133333333
60,,3,0.66,,63.27,108.75,0.67,0.067,28.6,,7.28,,8.13,,8,1,1,510,-0.224761905
60,,3,0.66,,63.27,108.75,0.67,0.067,28.6,,7.72,1.031,4.42,,7.5,1,5,1890,0.64507772
14,,3,1.33,,63.27,108.75,0.67,0.067,28.6,,7.07,0.979,17.21,,9,1,3,540,0.044334975
14,,3,1.33,,63.27,108.75,0.67,0.067,28.6,,7.28,,8.13,,8,1,1,510,-0.023485785
14,,3,1.33,,63.27,108.75,0.67,0.067,28.6,,7.72,,4.42,,7.5,1,5,1890,-0.062992126
14,,3,0.66,,63.27,108.75,0.67,0.067,28.6,,7.07,0.979,17.21,,9,1,3,540,0.002955665
14,,3,0.66,,63.27,108.75,0.67,0.067,28.6,,7.28,0.8,8.13,,8,1,1,510,0.29789864
14,,3,0.66,,63.27,108.75,0.67,0.067,28.6,,7.72,1.031,4.42,,7.5,1,5,1890,0.217847769
90,450,2,2,,,36.19,,0.339,199.97,,5.4,0.31,8.68,,8.92,1,5,,0.007427393
90,450,2,2,,,29.13,,0.152,211.91,,5.4,0.31,8.68,,8.92,1,5,,0.000838632
90,450,2,2,,,46.38,,0.441,345.91,,5.4,0.31,8.68,,8.92,1,5,,-0.214064272
90,450,2,2,,,40.72,,0.586,641.7,,5.4,0.31,8.68,,8.92,1,5,,0.215344561
90,450,2,2,,,63.69,,1.881,1448.8,,5.4,0.31,8.68,,8.92,1,5,,0.483423269
90,450,2,2,,,36.19,,0.339,199.97,,6.2,0.36,5.09,,6.52,1,5,,0.008668444
90,450,2,2,,,29.13,,0.152,211.91,,6.2,0.36,5.09,,6.52,1,5,,0.004333617
90,450,2,2,,,46.38,,0.441,345.91,,6.2,0.36,5.09,,6.52,1,5,,-0.043343429
90,450,2,2,,,40.72,,0.586,641.7,,6.2,0.36,5.09,,6.52,1,5,,0.0824
90,450,2,2,,,63.69,,1.881,1448.8,,6.2,0.36,5.09,,6.52,1,5,,0.394425684
90,450,2,1,,,36.19,,0.339,199.97,,5.4,0.31,8.68,,8.92,1,5,,0.007185083
